MeteoSchweiz/MeteoSuisse/MeteoSvizzera/MeteoSwiss

stn;time;tso010hs;tso020hs;tso005hs;gre000b0;prestab0;tre200b0;tre005b0;rre150b0;ure200b0;sre000b0;fkl010b0;dkl010b0
REH;2010010100;4.1;4.3;3.8;0.0;940.8;3.1;2.3;0.0;98.2;0.0;0.3;172
REH;2010010101;4.0;4.3;3.8;0.0;940.4;3.4;2.3;0.0;98.0;0.0;0.5;185
REH;2010010102;4.0;4.2;3.8;0.0;940.2;3.4;2.9;0.0;98.0;0.0;0.2;180
REH;2010010103;4.0;4.2;3.8;0.0;939.6;3.4;2.8;0.0;98.9;0.0;0.7;105
REH;2010010104;4.0;4.2;3.8;0.0;939.2;3.5;2.9;0.0;98.0;0.0;0.5;153
REH;2010010105;4.0;4.2;3.8;0.0;939.0;3.1;3.0;0.0;99.2;0.0;0.3;14
REH;2010010106;4.0;4.1;3.8;0.0;938.8;3.2;3.0;0.0;98.4;0.0;0.6;174
REH;2010010107;4.0;4.1;3.8;0.0;938.6;2.8;2.8;0.0;99.7;0.0;0.9;73
REH;2010010108;4.0;4.1;3.8;4.2;938.9;2.3;2.4;0.0;100.0;0.0;0.8;76
REH;2010010109;3.9;4.1;3.8;25.3;939.3;2.4;2.9;0.0;100.0;0.0;0.4;141
REH;2010010110;4.0;4.1;4.0;41.7;940.0;2.6;3.2;0.0;99.7;0.0;0.9;179
REH;2010010111;4.0;4.1;4.1;55.7;940.3;2.6;3.4;0.0;99.0;0.0;1.2;234
REH;2010010112;4.1;4.1;4.2;83.3;940.2;3.0;4.1;0.0;96.7;0.0;0.6;130
REH;2010010113;4.2;4.1;4.4;46.0;940.5;3.5;4.2;0.0;95.6;0.0;0.7;185
REH;2010010114;4.2;4.1;4.4;22.2;941.0;3.8;4.0;0.0;94.8;0.0;0.7;261
REH;2010010115;4.3;4.2;4.4;15.2;941.8;4.1;4.0;0.7;95.7;0.0;0.5;298
REH;2010010116;4.3;4.2;4.3;0.5;942.8;4.2;3.8;0.9;96.3;0.0;0.9;282
REH;2010010117;4.3;4.2;4.2;0.0;944.0;3.9;3.4;0.9;92.6;0.0;3.6;277
REH;2010010118;4.2;4.2;4.0;0.0;945.4;2.9;2.4;1.4;90.9;0.0;4.6;273
REH;2010010119;4.1;4.2;3.7;0.0;947.2;2.0;1.5;0.7;91.6;0.0;4.3;267
REH;2010010120;3.9;4.2;3.2;0.0;949.0;1.1;0.2;1.0;92.9;0.0;4.1;266
REH;2010010121;3.7;4.2;2.9;0.0;950.5;1.0;0.1;0.2;91.4;0.0;4.3;259
REH;2010010122;3.5;4.1;2.9;0.0;951.6;1.0;0.2;0.0;88.0;0.0;3.2;284
REH;2010010123;3.5;4.0;2.9;0.0;952.7;0.5;0.0;0.0;86.9;0.0;4.0;287
REH;2010010200;3.4;4.0;2.8;0.0;953.5;-0.1;-0.4;0.0;80.8;0.0;7.2;273
REH;2010010201;3.3;3.9;2.6;0.0;954.5;-0.3;-0.7;0.0;78.3;0.0;6.4;275
REH;2010010202;3.2;3.9;2.5;0.0;955.8;-0.6;-1.1;0.0;79.6;0.0;5.3;272
REH;2010010203;3.1;3.8;2.4;0.0;957.0;-0.8;-1.3;0.0;75.1;0.0;3.8;266
REH;2010010204;3.0;3.8;2.3;0.0;957.9;-0.9;-1.4;0.0;73.7;0.0;4.4;265
REH;2010010205;2.9;3.7;2.2;0.0;958.4;-1.0;-1.6;0.0;74.0;0.0;5.4;265
REH;2010010206;2.8;3.6;2.0;0.0;959.3;-1.2;-2.0;0.0;73.9;0.0;4.7;274
REH;2010010207;2.7;3.5;1.9;0.0;960.0;-1.4;-2.2;0.0;73.0;0.0;4.9;259
REH;2010010208;2.6;3.5;1.8;7.2;961.2;-1.7;-2.2;0.0;73.9;0.0;4.7;263
REH;2010010209;2.5;3.4;1.7;67.0;962.2;-1.7;-1.9;0.0;72.9;3.0;4.5;262
REH;2010010210;2.5;3.4;1.7;173.8;963.2;-1.2;-0.2;0.0;71.9;34.0;3.8;267
REH;2010010211;2.5;3.3;1.8;217.8;963.8;-1.2;-0.3;0.0;71.1;34.0;4.3;263
REH;2010010212;2.5;3.3;1.9;278.2;964.4;-0.8;0.9;0.0;67.2;37.0;3.5;257
REH;2010010213;2.5;3.2;2.0;162.0;965.2;-1.0;-0.0;0.0;64.6;12.0;3.4;265
REH;2010010214;2.5;3.2;2.0;218.7;965.9;-0.5;1.1;0.0;60.4;54.0;2.7;262
REH;2010010215;2.5;3.2;2.1;136.7;966.6;-0.5;1.2;0.0;56.6;56.0;2.7;290
REH;2010010216;2.5;3.2;2.0;19.3;967.2;-1.3;-2.4;0.0;60.3;18.0;2.1;276
REH;2010010217;2.5;3.1;1.8;0.0;967.9;-2.2;-4.9;0.0;65.0;0.0;1.3;275
REH;2010010218;2.3;3.1;1.6;0.0;968.6;-2.7;-6.1;0.0;70.3;0.0;0.7;280
REH;2010010219;2.3;3.1;1.4;0.0;968.9;-3.0;-6.8;0.0;72.9;0.0;0.9;248
REH;2010010220;2.2;3.0;1.3;0.0;969.0;-4.4;-8.2;0.0;84.9;0.0;0.3;142
REH;2010010221;2.0;3.0;1.1;0.0;969.0;-4.8;-9.3;0.0;88.3;0.0;0.2;74
REH;2010010222;1.9;2.9;1.0;0.0;969.0;-5.2;-9.6;0.0;90.6;0.0;0.1;115
REH;2010010223;1.8;2.8;0.9;0.0;969.2;-5.4;-9.1;0.0;88.7;0.0;0.6;270
REH;2010010300;1.7;2.8;0.8;0.0;969.2;-6.0;-9.7;0.0;91.7;0.0;0.4;257
